,Verse,Transcription
0,Mt1:1,βίβλος γενέσεως Ἰησοῦ χριστοῦ υἱοῦ Δαυίδ υἱοῦ Ἀβραάμ
1,Mt1:2,Ἀβραὰμ ἐγέννησεν τὸν Ἰσαάκ Ἰσαὰκ δὲ ἐγέννησεν τὸν Ἰακώβ Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰούδαν καὶ τοὺς ἀδελφοὺς αὐτοῦ
2,Mt1:3,Ἰούδας δὲ ἐγέννησεν τὸν Φαρὲς καὶ τὸν Ζαρὰ ἐκ τῆς Θάμαρ Φαρὲς δὲ ἐγέννησεν τὸν Ἑσρώμ Ἑσρὼμ δὲ ἐγέννησεν τὸν Ἀράμ
3,Mt1:4,Ἀρὰμ δὲ ἐγέννησεν τὸν Ἀμιναδάβ Ἀμιναδὰβ δὲ ἐγέννησεν τὸν Ναασσών Ναασσὼν δὲ ἐγέννησεν τὸν Σαλμών
4,Mt1:5,Σαλμὼν δὲ ἐγέννησεν τὸν Βοὸζ ἐκ τῆς Ῥαχάβ Βοὸζ δὲ ἐγέννησεν τὸν Ὠβὴδ ἐκ τῆς Ῥούθ Ὠβὴδ δὲ ἐγέννησεν τὸν Ἰεσσαί
5,Mt1:6,Ἰεσσαὶ δὲ ἐγέννησεν τὸν Δαυὶδ τὸν βασιλέα Δαυὶδ δὲ ὁ βασιλεὺς ἐγέννησεν τὸν Σολομῶνα ἐκ τῆς τοῦ Οὐρίου
6,Mt1:7,Σολομὼν δὲ ἐγέννησεν τὸν Ῥοβοάμ Ῥοβοὰμ δὲ ἐγέννησεν τὸν Ἀβιά Ἀβιὰ δὲ ἐγέννησεν τὸν Ἀσά
7,Mt1:8,Ἀσὰ δὲ ἐγέννησεν τὸν Ἰωσαφάτ Ἰωσαφὰτ δὲ ἐγέννησεν τὸν Ἰωράμ Ἰωρὰμ δὲ ἐγέννησεν τὸν Ὀζίαν
8,Mt1:9,Ὀζίας δὲ ἐγέννησεν τὸν Ἰωάθαμ Ἰωάθαμ δὲ ἐγέννησεν τὸν Ἄχαζ Ἄχαζ δὲ ἐγέννησεν τὸν Ἑζεκίαν
9,Mt1:10,Ἑζεκίας δὲ ἐγέννησεν τὸν Μανασσῆ Μανασσῆς δὲ ἐγέννησεν τὸν Ἀμών Ἀμὼν δὲ ἐγέννησεν τὸν Ἰωσίαν
10,Mt1:11,Ἰωσίας δὲ ἐγέννησεν τὸν Ἰεχονίαν καὶ τοὺς ἀδελφοὺς αὐτοῦ ἐπὶ τῆς μετοικεσίας Βαβυλῶνος
11,Mt1:12,μετὰ δὲ τὴν μετοικεσίαν Βαβυλῶνος Ἰεχονίας ἐγέννησεν τὸν Σαλαθιήλ Σαλαθιὴλ δὲ ἐγέννησεν τὸν Ζοροβάβελ
12,Mt1:13,Ζοροβάβελ δὲ ἐγέννησεν τὸν Ἀβιούδ Ἀβιοὺδ δὲ ἐγέννησεν τὸν Ἐλιακείμ Ἐλιακεὶμ δὲ ἐγέννησεν τὸν Ἀζώρ
13,Mt1:14,Ἀζὼρ δὲ ἐγέννησεν τὸν Σαδώκ Σαδὼκ δὲ ἐγέννησεν τὸν Ἀχείμ Ἀχεὶμ δὲ ἐγέννησεν τὸν Ἐλιούδ
14,Mt1:15,Ἐλιοὺδ δὲ ἐγέννησεν τὸν Ἐλεάζαρ Ἐλεάζαρ δὲ ἐγέννησεν τὸν Ματθάν Ματθὰν δὲ ἐγέννησεν τὸν Ἰακώβ
15,Mt1:16,Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰωσὴφ τὸν ἄνδρα Μαρίας ἐξ ἧς ἐγεννήθη Ἰησοῦς ὁ λεγόμενος χριστός
16,Mt1:17,πᾶσαι οὖν αἱ γενεαὶ ἀπὸ Ἀβραὰμ ἕως Δαυὶδ γενεαὶ δεκατέσσαρες καὶ ἀπὸ Δαυὶδ ἕως τῆς μετοικεσίας Βαβυλῶνος γενεαὶ δεκατέσσαρες καὶ ἀπὸ τῆς μετοικεσίας Βαβυλῶνος ἕως τοῦ χριστοῦ γενεαὶ δεκατέσσαρες
17,Mt1:18,τοῦ δὲ Ἰησοῦ χριστοῦ ἡ γέννησις οὕτως ἦν μνηστευθείσης γὰρ τῆς μητρὸς αὐτοῦ Μαρίας τῷ Ἰωσήφ πρὶν ἢ συνελθεῖν αὐτούς εὑρέθη ἐν γαστρὶ ἔχουσα ἐκ πνεύματος ἁγίου
18,Mt1:19,Ἰωσὴφ δὲ ὁ ἀνὴρ αὐτῆς δίκαιος ὤν καὶ μὴ θέλων αὐτὴν παραδειγματίσαι ἐβουλήθη λάθρα ἀπολῦσαι αὐτήν
19,Mt1:20,ταῦτα δὲ αὐτοῦ ἐνθυμηθέντος ἰδού ἄγγελος κυρίου κατ' ὄναρ ἐφάνη αὐτῷ λέγων Ἰωσήφ υἱὸς Δαυίδ μὴ φοβηθῇς παραλαβεῖν Μαριὰμ τὴν γυναῖκά σου τὸ γὰρ ἐν αὐτῇ γεννηθὲν ἐκ πνεύματός ἐστιν ἁγίου
20,Mt1:21,τέξεται δὲ υἱόν καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰησοῦν αὐτὸς γὰρ σώσει τὸν λαὸν αὐτοῦ ἀπὸ τῶν ἁμαρτιῶν αὐτῶν
21,Mt1:22,τοῦτο δὲ ὅλον γέγονεν ἵνα πληρωθῇ τὸ ῥηθὲν ὑπὸ τοῦ κυρίου διὰ τοῦ προφήτου λέγοντος
22,Mt1:23,ἰδού ἡ παρθένος ἐν γαστρὶ ἕξει καὶ τέξεται υἱόν καὶ καλέσουσιν τὸ ὄνομα αὐτοῦ Ἐμμανουήλ ὅ ἐστιν μεθερμηνευόμενον μεθ' ἡμῶν ὁ θεός
23,Mt1:24,διεγερθεὶς δὲ ὁ Ἰωσὴφ ἀπὸ τοῦ ὕπνου ἐποίησεν ὡς προσέταξεν αὐτῷ ὁ ἄγγελος κυρίου καὶ παρέλαβεν τὴν γυναῖκα αὐτοῦ
24,Mt1:25,καὶ οὐκ ἐγίνωσκεν αὐτὴν ἕως οὗ ἔτεκεν τὸν υἱὸν αὐτῆς τὸν πρωτότοκον καὶ ἐκάλεσεν τὸ ὄνομα αὐτοῦ Ἰησοῦν
25,Mt2:1,τοῦ δὲ Ἰησοῦ γεννηθέντος ἐν Βηθλεὲμ τῆς Ἰουδαίας ἐν ἡμέραις Ἡρῴδου τοῦ βασιλέως ἰδού μάγοι ἀπὸ ἀνατολῶν παρεγένοντο εἰς Ἱεροσόλυμα
26,Mt2:2,λέγοντες ποῦ ἐστιν ὁ τεχθεὶς βασιλεὺς τῶν Ἰουδαίων εἴδομεν γὰρ αὐτοῦ τὸν ἀστέρα ἐν τῇ ἀνατολῇ καὶ ἤλθομεν προσκυνῆσαι αὐτῷ
27,Mt2:3,ἀκούσας δὲ Ἡρῴδης ὁ βασιλεὺς ἐταράχθη καὶ πᾶσα Ἱεροσόλυμα μετ' αὐτοῦ
28,Mt2:4,καὶ συναγαγὼν πάντας τοὺς ἀρχιερεῖς καὶ γραμματεῖς τοῦ λαοῦ ἐπυνθάνετο παρ' αὐτῶν ποῦ ὁ χριστὸς γεννᾶται
29,Mt2:5,οἱ δὲ εἶπον αὐτῷ ἐν Βηθλεὲμ τῆς Ἰουδαίας οὕτως γὰρ γέγραπται διὰ τοῦ προφήτου
30,Mt2:6,καὶ σὺ Βηθλεέμ γῆ Ἰούδα οὐδαμῶς ἐλαχίστη εἶ ἐν τοῖς ἡγεμόσιν Ἰούδα ἐκ σοῦ γὰρ ἐξελεύσεται ἡγούμενος ὅστις ποιμανεῖ τὸν λαόν μου τὸν Ἰσραήλ
31,Mt2:7,τότε Ἡρῴδης λάθρα καλέσας τοὺς μάγους ἠκρίβωσεν παρ' αὐτῶν τὸν χρόνον τοῦ φαινομένου ἀστέρος
32,Mt2:8,καὶ πέμψας αὐτοὺς εἰς Βηθλεὲμ εἶπεν πορευθέντες ἀκριβῶς ἐξετάσατε περὶ τοῦ παιδίου ἐπὰν δὲ εὕρητε ἀπαγγείλατέ μοι ὅπως κἀγὼ ἐλθὼν προσκυνήσω αὐτῷ
33,Mt2:9,οἱ δὲ ἀκούσαντες τοῦ βασιλέως ἐπορεύθησαν καὶ ἰδού ὁ ἀστήρ ὃν εἶδον ἐν τῇ ἀνατολῇ προῆγεν αὐτούς ἕως ἐλθὼν ἔστη ἐπάνω οὗ ἦν τὸ παιδίον
34,Mt2:10,ἰδόντες δὲ τὸν ἀστέρα ἐχάρησαν χαρὰν μεγάλην σφόδρα
35,Mt2:11,καὶ ἐλθόντες εἰς τὴν οἰκίαν εἶδον τὸ παιδίον μετὰ Μαρίας τῆς μητρὸς αὐτοῦ καὶ πεσόντες προσεκύνησαν αὐτῷ καὶ ἀνοίξαντες τοὺς θησαυροὺς αὐτῶν προσήνεγκαν αὐτῷ δῶρα χρυσὸν καὶ λίβανον καὶ σμύρναν
36,Mt2:12,καὶ χρηματισθέντες κατ' ὄναρ μὴ ἀνακάμψαι πρὸς Ἡρῴδην δι' ἄλλης ὁδοῦ ἀνεχώρησαν εἰς τὴν χώραν αὐτῶν
37,Mt2:13,ἀναχωρησάντων δὲ αὐτῶν ἰδού ἄγγελος κυρίου φαίνεται κατ' ὄναρ τῷ Ἰωσήφ λέγων ἐγερθεὶς παράλαβε τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ καὶ φεῦγε εἰς Αἴγυπτον καὶ ἴσθι ἐκεῖ ἕως ἂν εἴπω σοί μέλλει γὰρ Ἡρῴδης ζητεῖν τὸ παιδίον τοῦ ἀπολέσαι αὐτό
38,Mt2:14,ὁ δὲ ἐγερθεὶς παρέλαβεν τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ νυκτός καὶ ἀνεχώρησεν εἰς Αἴγυπτον
39,Mt2:15,καὶ ἦν ἐκεῖ ἕως τῆς τελευτῆς Ἡρῴδου ἵνα πληρωθῇ τὸ ῥηθὲν ὑπὸ τοῦ κυρίου διὰ τοῦ προφήτου λέγοντος ἐξ Αἰγύπτου ἐκάλεσα τὸν υἱόν μου
40,Mt2:16,τότε Ἡρῴδης ἰδὼν ὅτι ἐνεπαίχθη ὑπὸ τῶν μάγων ἐθυμώθη λίαν καὶ ἀποστείλας ἀνεῖλεν πάντας τοὺς παῖδας τοὺς ἐν Βηθλεὲμ καὶ ἐν πᾶσιν τοῖς ὁρίοις αὐτῆς ἀπὸ διετοῦς καὶ κατωτέρω κατὰ τὸν χρόνον ὃν ἠκρίβωσεν παρὰ τῶν μάγων
41,Mt2:17,τότε ἐπληρώθη τὸ ῥηθὲν ὑπὸ Ἰερεμίου τοῦ προφήτου λέγοντος
42,Mt2:18,φωνὴ ἐν Ῥαμᾶ ἠκούσθη θρῆνος καὶ κλαυθμὸς καὶ ὀδυρμὸς πολύς Ῥαχὴλ κλαίουσα τὰ τέκνα αὐτῆς καὶ οὐκ ἤθελεν παρακληθῆναι ὅτι οὐκ εἰσίν
