Verse,Transcription
Mat 1:1,كتاب ميلاد يسوع المسيح ابن داود ابن ابراهيم.
Mat 1:2,ابراهيم ولد اسحق. واسحق ولد يعقوب. ويعقوب ولد يهوذا واخوته.
Mat 1:3,ويهوذا ولد فارص وزارح من ثامار. وفارص ولد حصرون. وحصرون ولد ارام.
Mat 1:4,وارام ولد عميناداب. وعميناداب ولد نحشون. ونحشون ولد سلمون.
Mat 1:5,وسلمون ولد بوعز من راحاب. وبوعز ولد عوبيد من راعوث. وعوبيد ولد يسى.
Mat 1:6,ويسى ولد داود الملك. وداود الملك ولد سليمان من التي لأوريا.
Mat 1:7,وسليمان ولد رحبعام. ورحبعام ولد ابيا. وابيا ولد آسا.
Mat 1:8,وآسا ولد يهوشافاط. ويهوشافاط ولد يورام. ويورام ولد عزيا.
Mat 1:9,وعزيا ولد يوثام. ويوثام ولد آحاز. وآحاز ولد حزقيا.
Mat 1:10,وحزقيا ولد منسّى. ومنسّى ولد آمون. وآمون ولد يوشيا.
Mat 1:11,ويوشيا ولد يكنيا واخوته عند سبي بابل.
Mat 1:12,وبعد سبي بابل يكنيا ولد شألتيئيل. وشألتيئيل ولد زربابل.
Mat 1:13,وزربابل ولد ابيهود. وابيهود ولد الياقيم. والياقيم ولد عازور.
Mat 1:14,وعازور ولد صادوق. وصادوق ولد اخيم. واخيم ولد اليود.
Mat 1:15,واليود ولد أليعازر. وأليعازر ولد متان. ومتان ولد يعقوب.
Mat 1:16,ويعقوب ولد يوسف رجل مريم التي ولد منها يسوع الذي يدعى المسيح.
Mat 1:17,فجميع الاجيال من ابراهيم الى داود اربعة عشر جيلا. ومن داود الى سبي بابل اربعة عشر جيلا. ومن سبي بابل الى المسيح اربعة عشر جيلا
Mat 1:18,اما ولادة يسوع المسيح فكانت هكذا. لما كانت مريم امه مخطوبة ليوسف قبل ان يجتمعا وجدت حبلى من الروح القدس.
Mat 1:19,فيوسف رجلها اذ كان بارا ولم يشأ ان يشهرها اراد تخليتها سرّا.
Mat 1:20,ولكن فيما هو متفكر في هذه الامور اذا ملاك الرب قد ظهر له في حلم قائلا يا يوسف ابن داود لا تخف ان تأخذ مريم امرأتك. لان الذي حبل به فيها هو من الروح القدس.
Mat 1:21,فستلد ابنا وتدعو اسمه يسوع لانه يخلّص شعبه من خطاياهم.
Mat 1:22,وهذا كله كان لكي يتم ما قيل من الرب بالنبي القائل.
Mat 1:23,هوذا العذراء تحبل وتلد ابنا ويدعون اسمه عمانوئيل الذي تفسيره الله معنا
Mat 1:24,فلما استيقظ يوسف من النوم فعل كما امره ملاك الرب واخذ امرأته.
Mat 1:25,ولم يعرفها حتى ولدت ابنها البكر. ودعا اسمه يسوع
