,Verse,Transcription
0,1Esd1:1,"ΚΑΙ ἤγαγεν Ἰωσείας τὸ πάσχα ἐν Ἰερουσαλὴμ τῷ κυρίῳ αὐτοῦ, καὶ ἔθυσαν τὸ πάσχα τῇ τεσσαρεσκαιδεκάτῃ ἡμέρᾳ τοῦ μηνὸς τοῦ πρώτου,"
1,1Esd1:2,στήσας τοὺς ἱερεῖς κατ’ ἐφημερίας ἐστολισμένους ἐν τῷ ἱερῷ τοῦ κυρίου.
2,1Esd1:3,"καὶ εἶπεν τοῖς Λευείταις, ἱεροδούλοις τοῦ Ἰσραήλ, ἁγιάσαι αὐτοὺς τῷ κυρίῳ ἐν τῇ θέσει τῆς ἁγίας κιβωτοῦ τοῦ κυρίου ἐν τῷ οἴκῳ ᾧ ᾠκοδόμησεν Σαλωμὼν ὁ τοῦ Δαυεὶδ ὁ βασιλεύς·"
3,1Esd1:4,"Οὐκ ἔσται ὑμῖν ἆραι ἐπ’ ὤμων αὐτήν· καὶ νῦν λατρεύετε τῷ κυρίῳ θεῷ ὑμῶν, καὶ θεραπεύετε τὸ ἔθνος αὐτοῦ Ἰσραήλ, καὶ ἑτοιμάσατε κατὰ τὰς πατριὰς καὶ τὰς φυλὰς ὑμῶν κατὰ τὴν γραφὴν Δαυεὶδ βασιλέως Ἰσραὴλ καὶ κατὰ τὴν μεγαλειότητα Σαλωμὼν τοῦ υἱοῦ αὐτοῦ·"
4,1Esd1:5,καὶ στάντες ἐν τῷ ἁγίῳ κατὰ τὴν μεριδαρχίαν τὴν πατρικὴν ὑμῶν τῶν Λευειτῶν τῶν ἔμπροσθεν τῶν ἀδελφῶν ὑμῶν υἱῶν Ἰσραὴλ
5,1Esd1:6,"ἐν τάξει, θύσατε τὸ πάσχα, καὶ τὰς θυσίας ἑτοιμάσατε τοῖς ἀδελφοῖς ὑμῶν, καὶ ποιήσατε τὸ πάσχα κατὰ τὸ πρόσταγμα τοῦ κυρίου τὸ δοθὲν τῷ Μωυσῇ."
6,1Esd1:7,"καὶ ἐδωρήσατο Ἰωσείας τῷ λαῷ τῷ εὑρεθέντι ἀρνῶν καὶ ἐρίφων τριάκοντα χιλιάδας, μόσχους τρισχιλίους· ταῦτα ἐκ τῶν βασιλικῶν ἐδόθη κατ’ ἐπαγγελίαν τῷ λαῷ καὶ τοῖς ἱερεῦσιν καὶ Λευείταις."
7,1Esd1:8,"καὶ ἔδωκεν Χελκείας καὶ Ζαχαρίας καὶ Ἠσύηλος οἱ ἐπιστάται τοῦ ἱεροῦ τοῖς ἱερεῦσιν εἰς πάσχα πρόβατα δισχίλια ἑξακόσια, μόσχους τριακοσίους."
8,1Esd1:9,"καὶ Ἰεχονὶας καὶ Σαμαίας καὶ Ναθαναὴλ ὁ ἀδελφὸς καὶ Σαβίας καὶ Ὀχίηλος καὶ Ἰωρὰμ χιλίαρχοι ἔδωκαν τοῖς Λευείταις εἰς πάσχα πρόβατα χίλια, μόσχους ἑπτακοσίους."
9,1Esd1:10,"καὶ ταῦτα τὰ γενόμενα· εὐπρεπῶς ἔστησαν οἱ ἱερεῖς καὶ οἱ Λευεῖται, ἔχοντες τὰ ἄζυμα, κατὰ τὰς φυλὰς καὶ κατὰ τὰς μεριδαρχίας τῶν πατέρων ἔμπροσθεν τοῦ λαοῦ, προσενεγκεῖν τῷ κυρίῳ κατὰ τὰ γεγραμμένα ἐν βιβλίῳ Μωυσῆ· καὶ οὕτω τὸ πρωινόν."
