Verse,Transcription
Matthew 1:1,βίβλος γενέσεως Ἰησοῦ Χριστοῦ υἱοῦ Δαυεὶδ υἱοῦ Ἀβραάμ
Matthew 1:2,Ἀβραὰμ ἐγέννησεν τὸν Ἰσαάκ Ἰσαὰκ δὲ ἐγέννησεν τὸν Ἰακώβ Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰούδαν καὶ τοὺς ἀδελφοὺς αὐτοῦ
Matthew 1:3,Ἰούδας δὲ ἐγέννησεν τὸν Φάρες καὶ τὸν Ζάρα ἐκ τῆς Θαμάρ Φάρες δὲ ἐγέννησεν τὸν Ἑσρώμ Ἑσρὼμ δὲ ἐγέννησεν τὸν Ἀράμ
Matthew 1:4,Ἀρὰμ δὲ ἐγέννησεν τὸν Ἀμιναδάβ Ἀμιναδὰβ δὲ ἐγέννησεν τὸν Ναασσών Ναασσὼν δὲ ἐγέννησεν τὸν Σαλμών
Matthew 1:5,Σαλμὼν δὲ ἐγέννησεν τὸν Βόες ἐκ τῆς Ῥαχάβ Βόες δὲ ἐγέννησεν τὸν Ἰωβὴδ ἐκ τῆς Ῥούθ Ἰωβὴδ δὲ ἐγέννησεν τὸν Ἰεσσαί
Matthew 1:6,Ἰεσσαὶ δὲ ἐγέννησεν τὸν Δαυεὶδ τὸν βασιλέα Δαυεὶδ δὲ ἐγέννησεν τὸν Σολομῶνα ἐκ τῆς τοῦ Οὐρίου
Matthew 1:7,Σολομὼν δὲ ἐγέννησεν τὸν Ῥοβοάμ Ῥοβοὰμ δὲ ἐγέννησεν τὸν Ἀβιά Ἀβιὰ δὲ ἐγέννησεν τὸν Ἀσάφ
Matthew 1:8,Ἀσὰφ δὲ ἐγέννησεν τὸν Ἰωσαφάτ Ἰωσαφὰτ δὲ ἐγέννησεν τὸν Ἰωράμ Ἰωρὰμ δὲ ἐγέννησεν τὸν Ὀζείαν
Matthew 1:9,Ὀζείας δὲ ἐγέννησεν τὸν Ἰωαθάμ Ἰωαθὰμ δὲ ἐγέννησεν τὸν Ἀχάζ Ἀχὰζ δὲ ἐγέννησεν τὸν Ἑζεκίαν
Matthew 1:10,Ἑζεκίας δὲ ἐγέννησεν τὸν Μανασσῆ Μανασσῆς δὲ ἐγέννησεν τὸν Ἀμώς Ἀμὼς δὲ ἐγέννησεν τὸν Ἰωσείαν
Matthew 1:11,Ἰωσείας δὲ ἐγέννησεν τὸν Ἰεχονίαν καὶ τοὺς ἀδελφοὺς αὐτοῦ ἐπὶ τῆς μετοικεσίας Βαβυλῶνος
Matthew 1:12,μετὰ δὲ τὴν μετοικεσίαν Βαβυλῶνος Ἰεχονίας ἐγέννησεν τὸν Σαλαθιήλ Σαλαθιὴλ δὲ ἐγέννησεν τὸν Ζοροβάβελ
Matthew 1:13,Ζοροβάβελ δὲ ἐγέννησεν τὸν Ἀβιούδ Ἀβιοὺδ δὲ ἐγέννησεν τὸν Ἐλιακείμ Ἐλιακεὶμ δὲ ἐγέννησεν τὸν Ἀζώρ
Matthew 1:14,Ἀζὼρ δὲ ἐγέννησεν τὸν Σαδώκ Σαδὼκ δὲ ἐγέννησεν τὸν Ἀχείμ Ἀχεὶμ δὲ ἐγέννησεν τὸν Ἐλιούδ
